,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
707,Lower Shabelle,Marka,2011-10-01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,223811.46875,104934.1796875,,0.0,328745.6875,328745.6875,0.0,328745.6875,657491.375,328745.6875,657491.375,328745.6484375,657491.296875
708,Lower Shabelle,Qoryooley,2011-10-01,0.0,0.0,11003.0908203125,,0.0,0.0,0.0,11003.0908203125,,0.0,0.0,78488.703125,131258.4375,,0.0,198744.046875,198744.046875,0.0,209747.1376953125,419494.275390625,209747.1376953125,419494.275390625,209747.140625,419494.28125
709,Lower Shabelle,Sablaale,2011-10-01,0.0,0.0,13876.806640625,,0.0,0.0,0.0,28529.875,,0.0,0.0,36638.015625,29426.09765625,,0.0,52187.3046875,37534.2421875,0.0,66064.111328125,132128.22265625,66064.1171875,132128.234375,66064.11328125,132128.2265625
710,Lower Shabelle,Wanla Weyn,2011-10-01,0.0,0.0,252492.09375,,0.0,0.0,0.0,252492.09375,,0.0,0.0,248308.90625,4225.6416015625,,0.0,42.441650390625,42.441650390625,0.0,252534.53540039062,505069.07080078125,252534.53540039062,505069.07080078125,252534.5478515625,505069.095703125
711,Middle Juba,Bu'aale,2011-10-01,0.0,0.0,96544.390625,,0.0,0.0,0.0,96596.4140625,,0.0,0.0,3274.059326171875,93322.3515625,,0.0,52.02320861816406,0.0,0.0,96596.41383361816,193192.82766723633,96596.4140625,193192.828125,96596.41088867188,193192.82177734375
712,Middle Juba,Jilib,2011-10-01,0.0,0.0,188622.75,,0.0,0.0,0.0,188834.8125,,0.0,0.0,14362.3271484375,174539.90625,,0.0,279.487060546875,67.42009735107422,0.0,188902.23706054688,377804.47412109375,188902.23259735107,377804.46519470215,188902.2333984375,377804.466796875
713,Middle Juba,Saakow,2011-10-01,0.0,23213.818359375,82492.640625,,0.0,0.0,23213.818359375,82570.7421875,,0.0,23122.26171875,27502.4453125,55293.4375,,0.0,211.68341064453125,133.58509826660156,0.0,105918.14239501953,211836.28479003906,105918.1456451416,211836.2912902832,105918.14453125,211836.2890625
714,Middle Shabelle,Adan Yabaal,2011-10-01,0.0,0.0,99178.25,,0.0,0.0,0.0,99178.25,,0.0,0.0,3529.61962890625,95648.625,,0.0,0.0,0.0,0.0,99178.25,198356.5,99178.25,198356.5,99178.24462890625,198356.4892578125
715,Middle Shabelle,Balcad,2011-10-01,0.0,0.0,1406.872802734375,,0.0,0.0,0.0,1406.872802734375,,0.0,0.0,39019.296875,209356.34375,,0.0,246968.75,246968.75,0.0,248375.62280273438,496751.24560546875,248375.62280273438,496751.24560546875,248375.640625,496751.28125
716,Middle Shabelle,Cadale,2011-10-01,0.0,0.0,478.812255859375,,0.0,0.0,0.0,2352.665283203125,,0.0,0.0,1889.282470703125,78942.4296875,,0.0,80352.8984375,78479.046875,0.0,80831.71069335938,161663.42138671875,80831.71215820312,161663.42431640625,80831.71215820312,161663.42431640625
