,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,ML1_99,CS_99,ML2_99
76,Borkou,Borkou,2009-10-01,0.0,71791.1328125,124.48678588867188,71915.625,0.0,0.0,71915.625,0.0,0.0,0,0.0,0.0,0,0.0,0,71915.61959838867,71915.61959838867,71915.625,71915.625,71915.625,71915.625,,,
77,Borkou,Borkou Yala,2009-10-01,0.0,26070.701171875,12.982768058776855,26083.68359375,0.0,0.0,26083.68359375,0.0,0.0,0,0.0,0.0,0,0.0,0,26083.683939933777,26083.683939933777,26083.68359375,26083.68359375,26083.68359375,26083.68359375,,,
78,Chari-Baguirmi,Baguirmi,2009-10-01,0.0,220172.296875,0.0,156.09445190429688,0.0,0.0,220172.296875,0.0,0.0,0,220016.203125,0.0,0,0.0,0,220172.296875,220172.296875,220172.2975769043,220172.2975769043,220172.296875,220172.296875,,,
79,Chari-Baguirmi,Chari,2009-10-01,0.0,182646.671875,0.0,182620.96875,0.0,0.0,182646.671875,0.0,0.0,0,25.70231819152832,0.0,0,0.0,0,182646.671875,182646.671875,182646.67106819153,182646.67106819153,182646.671875,182646.671875,,,
80,Chari-Baguirmi,Loug-Chari,2009-10-01,0.0,202629.875,0.0,0.0,0.0,0.0,202629.875,0.0,0.0,0,202629.875,0.0,0,0.0,0,202629.875,202629.875,202629.875,202629.875,202629.875,202629.875,,,
81,Ennedi Est,Am-Djarass,2009-10-01,0.0,81245.90625,0.0,81245.90625,0.0,0.0,81245.90625,0.0,0.0,0,0.0,0.0,0,0.0,0,81245.90625,81245.90625,81245.90625,81245.90625,81245.90625,81245.90625,,,
82,Ennedi Est,Wadi Hawar,2009-10-01,0.0,35823.5234375,7948.2392578125,43771.76171875,0.0,0.0,43771.76171875,0.0,0.0,0,0.0,0.0,0,0.0,0,43771.7626953125,43771.7626953125,43771.76171875,43771.76171875,43771.76171875,43771.76171875,,,
83,Ennedi Ouest,Fada,2009-10-01,0.0,25780.0078125,0.0,25780.0078125,0.0,0.0,25780.0078125,0.0,0.0,0,0.0,0.0,0,0.0,0,25780.0078125,25780.0078125,25780.0078125,25780.0078125,25780.0078125,25780.0078125,,,
84,Ennedi Ouest,Mourtcha,2009-10-01,0.0,23499.865234375,1819.4881591796875,25319.353515625,0.0,0.0,25319.353515625,0.0,0.0,0,0.0,0.0,0,0.0,0,25319.353393554688,25319.353393554688,25319.353515625,25319.353515625,25319.353515625,25319.353515625,,,
85,Guéra,Abtouyour,2009-10-01,0.0,175700.65625,28.334882736206055,28.334882736206055,0.0,175700.65625,28.334882736206055,0.0,0.0,0,175700.65625,0.0,0,0.0,0,175728.9911327362,175728.9911327362,175728.9911327362,175728.9911327362,175728.9911327362,175728.9911327362,,,
86,Guéra,Barh-Signaka,2009-10-01,0.0,109211.5703125,0.0,0.0,0.0,109181.8046875,29.77239227294922,0.0,0.0,0,109211.5703125,0.0,0,0.0,0,109211.5703125,109211.5703125,109211.5703125,109211.5703125,109211.57707977295,109211.57707977295,,,
87,Guéra,Guéra,2009-10-01,0.0,180881.75,0.0,0.0,0.0,180881.75,0.0,0.0,0.0,0,180881.75,0.0,0,0.0,0,180881.75,180881.75,180881.75,180881.75,180881.75,180881.75,,,
88,Guéra,Mangalmé,2009-10-01,0.0,99790.796875,0.0,0.0,0.0,99790.796875,0.0,0.0,0.0,0,99790.796875,0.0,0,0.0,0,99790.796875,99790.796875,99790.796875,99790.796875,99790.796875,99790.796875,,,
89,Hadjer-Lamis,Dababa,2009-10-01,0.0,240769.921875,82.34671020507812,82.34671020507812,0.0,0.0,240852.265625,0.0,0.0,0,240769.921875,0.0,0,0.0,0,240852.26858520508,240852.26858520508,240852.26858520508,240852.26858520508,240852.265625,240852.265625,,,
90,Hadjer-Lamis,Dagana,2009-10-01,0.0,251.62789916992188,127965.7734375,128217.40625,0.0,0.0,128217.40625,0.0,0.0,0,0.0,0.0,0,0.0,0,128217.40133666992,128217.40133666992,128217.40625,128217.40625,128217.40625,128217.40625,,,
91,Hadjer-Lamis,Haraze-Al-Biar,2009-10-01,0.0,151944.421875,0.0,151680.59375,0.0,0.0,151944.421875,0.0,0.0,0,263.82366943359375,0.0,0,0.0,0,151944.421875,151944.421875,151944.4174194336,151944.4174194336,151944.421875,151944.421875,,,
92,Kanem,Kanem,2009-10-01,0.0,1812.509521484375,156534.90625,156534.90625,0.0,1812.509521484375,156534.90625,0.0,0.0,0,1812.509521484375,0.0,0,0.0,0,158347.41577148438,158347.41577148438,158347.41577148438,158347.41577148438,158347.41577148438,158347.41577148438,,,
93,Kanem,Nord Kanem,2009-10-01,0.0,1376.8377685546875,94457.1171875,94468.5859375,0.0,1365.3662109375,94468.5859375,0.0,0.0,0,1365.3662109375,0.0,0,0.0,0,95833.95495605469,95833.95495605469,95833.9521484375,95833.9521484375,95833.9521484375,95833.9521484375,,,
94,Kanem,Wadi Bissam,2009-10-01,0.0,0.0,95106.421875,95106.421875,0.0,0.0,95106.421875,0.0,0.0,0,0.0,0.0,0,0.0,0,95106.421875,95106.421875,95106.421875,95106.421875,95106.421875,95106.421875,,,
95,Lac,Fouli,2009-10-01,0.0,76663.3828125,1136.66845703125,1136.66845703125,0.0,76663.3828125,1136.66845703125,0.0,0.0,0,76663.3828125,0.0,0,0.0,0,77800.05126953125,77800.05126953125,77800.05126953125,77800.05126953125,77800.05126953125,77800.05126953125,,,
