,date,admin1Name,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
96,2010-10-01,Gedo,508403,496702,0.0,231966.0,81203.0,183533.0,0.0,0.0,231966.0,81203.0,183533.0,0.0,0.0,231966.0,81203.0,183533.0,0.0,496702.0,496702.0,496702.0
97,2010-10-01,Hiraan,520686,508704,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,508704.0,508704.0,508704.0
98,2010-10-01,Lower Juba,489307,478047,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,478047.0,478047.0,478047.0
99,2010-10-01,Lower Shabelle,1202219,1174554,0.0,1174554.0,0.0,0.0,0.0,0.0,1174554.0,0.0,0.0,0.0,0.0,1174554.0,0.0,0.0,0.0,1174554.0,1174554.0,1174554.0
100,2010-10-01,Middle Juba,362921,354569,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,354569.0,354569.0,354569.0
101,2010-10-01,Middle Shabelle,516035,504160,0.0,0.0,382353.0,121807.0,0.0,0.0,0.0,382353.0,121807.0,0.0,0.0,0.0,382353.0,121807.0,0.0,504160.0,504160.0,504160.0
102,2010-10-01,Mudug,717862,701342,0.0,0.0,0.0,701342.0,0.0,0.0,0.0,458002.0,243340.0,0.0,0.0,0.0,0.0,701342.0,0.0,701342.0,701342.0,701342.0
103,2010-10-01,Nugaal,392697,383660,0.0,241025.0,0.0,142635.0,0.0,0.0,241025.0,63468.0,79167.0,0.0,0.0,241025.0,0.0,142635.0,0.0,383660.0,383660.0,383660.0
104,2010-10-01,Sanaag,544123,531602,0.0,298243.0,233359.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,531602.0,531602.0,531602.0
105,2010-10-01,Sool,327427,319891,0.0,319891.0,0.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,319891.0,319891.0,319891.0
