,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
64,Central,Dedza,2010-01-01,683835.375,0.0,0.0,683835.375,0.0,0.0,683835.375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,683835.375,683835.375,683835.375,683835.375,683835.375,683835.375,,,
65,Central,Dowa,2010-01-01,629148.9375,0.0,0.0,629148.9375,0.0,0.0,629148.9375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,629148.9375,629148.9375,629148.9375,629148.9375,629148.9375,629148.9375,,,
66,Central,Kasungu,2010-01-01,693453.75,0.0,0.0,693453.75,0.0,0.0,693453.75,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,693453.75,693453.75,693453.75,693453.75,693453.75,693453.75,,,
67,Central,Lilongwe,2010-01-01,1394155.0,0.0,0.0,1394155.0,0.0,0.0,1394155.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1394155.0,1394155.0,1394155.0,1394155.0,1394155.0,1394155.0,,,
68,Central,Lilongwe City,2010-01-01,776245.25,0.0,0.0,776245.25,0.0,0.0,776245.25,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,776245.25,776245.25,776245.25,776245.25,776245.25,776245.25,,,
69,Central,Mchinji,2010-01-01,505512.6875,0.0,0.0,505512.6875,0.0,0.0,505512.6875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,505512.6875,505512.6875,505512.6875,505512.6875,505512.6875,505512.6875,,,
70,Central,Nkhotakota,2010-01-01,320652.71875,0.0,0.0,320652.71875,0.0,0.0,320652.71875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,320652.71875,320652.71875,320652.71875,320652.71875,320652.71875,320652.71875,,,
71,Central,Ntcheu,2010-01-01,512968.34375,538.112548828125,0.0,512968.34375,538.112548828125,0.0,513506.4375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,513506.4562988281,513506.4562988281,513506.4562988281,513506.4562988281,513506.4375,513506.4375,,,
72,Central,Ntchisi,2010-01-01,248975.5,0.0,0.0,248975.5,0.0,0.0,248975.5,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,248975.5,248975.5,248975.5,248975.5,248975.5,248975.5,,,
73,Central,Salima,2010-01-01,370411.375,0.0,0.0,370411.375,0.0,0.0,370411.375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,370411.375,370411.375,370411.375,370411.375,370411.375,370411.375,,,
74,Northern,Chitipa,2010-01-01,196218.234375,0.0,0.0,196218.234375,0.0,0.0,196218.234375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,196218.234375,196218.234375,196218.234375,196218.234375,196218.234375,196218.234375,,,
75,Northern,Karonga,2010-01-01,288911.8125,0.0,0.0,288911.8125,0.0,0.0,288911.8125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,288911.8125,288911.8125,288911.8125,288911.8125,288911.8125,288911.8125,,,
76,Northern,Likoma,2010-01-01,0.0,0.0,3992.151123046875,0.0,0.0,3992.151123046875,0.0,0.0,0.0,3992.151123046875,0.0,0,0,0.0,0,0,0.0,0,0.0,3992.151123046875,0.0,3992.151123046875,0.0,3992.151123046875,,,
77,Northern,Mzimba,2010-01-01,809131.875,0.0,0.0,809131.875,0.0,0.0,809131.875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,809131.875,809131.875,809131.875,809131.875,809131.875,809131.875,,,
78,Northern,Mzuzu City,2010-01-01,146121.484375,0.0,0.0,146121.484375,0.0,0.0,146121.484375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,146121.484375,146121.484375,146121.484375,146121.484375,146121.484375,146121.484375,,,
79,Northern,Nkhata Bay,2010-01-01,217537.28125,0.0,0.0,217537.28125,0.0,0.0,217537.28125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,217537.28125,217537.28125,217537.28125,217537.28125,217537.28125,217537.28125,,,
80,Northern,Rumphi,2010-01-01,175944.4375,0.0,0.0,175944.4375,0.0,0.0,175944.4375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,175944.4375,175944.4375,175944.4375,175944.4375,175944.4375,175944.4375,,,
81,Southern,Balaka,2010-01-01,247744.296875,104964.25,0.0,247744.296875,104964.25,0.0,352708.5625,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,352708.546875,352708.546875,352708.546875,352708.546875,352708.5625,352708.5625,,,
82,Southern,Blantyre,2010-01-01,390815.875,0.0,0.0,390815.875,0.0,0.0,390815.875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,390815.875,390815.875,390815.875,390815.875,390815.875,390815.875,,,
83,Southern,Blantyre City,2010-01-01,699772.0,0.0,0.0,699772.0,0.0,0.0,699772.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,699772.0,699772.0,699772.0,699772.0,699772.0,699772.0,,,
